text,date,game
we had those two shifts they scored on,10/6/2018,2
one shift in the second and then we,10/6/2018,2
turned over and they scored again on the,10/6/2018,2
second shift I don't know how far they,10/6/2018,2
were apart not very far I thought that,10/6/2018,2
was a big momentum swing you know we,10/6/2018,2
didn't capitalize around their neck,10/6/2018,2
tonight like we probably could have and,10/6/2018,2
in saying that I like that we worked,10/6/2018,2
harder and we spent more time in the,10/6/2018,2
offensive zone and did some good things,10/6/2018,2
in the end we weren't polished enough to,10/6/2018,2
win so that's why you play so we just,10/6/2018,2
got to keep working at that's a good,10/6/2018,2
roll of dice when you score you know I,10/6/2018,2
didn't think we're dangerous six on five,10/6/2018,2
so we'll have to clean that up a little,10/6/2018,2
bit but you know you're you're doing,10/6/2018,2
what you can to make it happen and,10/6/2018,2
you're pushing there at that point you,10/6/2018,2
know we call the time well we had our,10/6/2018,2
players out there lots we had lots of,10/6/2018,2
opportunity we didn't do enough with it,10/6/2018,2
the same as well I thought it was pretty,10/6/2018,2
good game on and then tonight didn't go,10/6/2018,2
his way so you know we're probably our,10/6/2018,2
records probably what we deserve and,10/6/2018,2
they probably should have been in a,10/6/2018,2
different order you know the one thing,10/6/2018,2
about this game you're in it together,10/6/2018,2
all the time and you know we all got to,10/6/2018,2
be better if we're gonna have success,10/6/2018,2
that's it was good I thought Riley,10/6/2018,2
really bounce back from Game one I,10/6/2018,2
thought he was real salt,10/6/2018,2
I thought derp me move the puck as well,10/6/2018,2
you know wouldn't spend a ton of time on,10/6/2018,2
his own sauce,10/6/2018,2
valuating the D was harder whichever,10/6/2018,2
ones course you know I mean Michie,10/6/2018,2
one-on-one with the goalie you'll take,10/6/2018,2
it all day just at a breakaway I mean we,10/6/2018,2
had good opportunity here tonight,10/6/2018,2
there's no question about you got to,10/6/2018,2
give their goalie credit yeah that's,10/6/2018,2
what videos foreign in the flight and,10/6/2018,2
good sleep and figure all that out so,10/6/2018,2
you guys travel safe,10/6/2018,2
Maiki rally from 2 down to winning a,10/7/2018,3
tough tough building and some pretty,10/7/2018,3
good hockey players over there how do,10/7/2018,3
you put it all into perspective here now,10/7/2018,3
after the overtime well it's probably,10/7/2018,3
fun for the fans a lot of entertainment,10/7/2018,3
out there I mean you know obviously it,10/7/2018,3
was going in on both nuts and we had a,10/7/2018,3
lot of good plays and I thought you know,10/7/2018,3
they were flying and we were standing,10/7/2018,3
there watching them at the start I don't,10/7/2018,3
know if that's too much respect or what,10/7/2018,3
that was at the start but once we got,10/7/2018,3
playing I thought we did a real good job,10/7/2018,3
and yet you know the puck kept going in,10/7/2018,3
our net so I thought we were home free a,10/7/2018,3
few times but that never happened well I,10/7/2018,3
don't know I like Zach he won't even,10/7/2018,3
talk about him but I mean to me he's,10/7/2018,3
just why does that line play in the,10/7/2018,3
offensive zone all the time because he,10/7/2018,3
just keeps the go get it and go get it,10/7/2018,3
and go get it and go get it and he's,10/7/2018,3
having you when you look around the,10/7/2018,3
league how many guys can skate like that,10/7/2018,3
protect the puck like that like that,10/7/2018,3
we're fortunate to have well just I mean,10/7/2018,3
obviously wasn't going very good and we,10/7/2018,3
needed to do something and you know,10/7/2018,3
capys another big body we'd like him to,10/7/2018,3
decide he wants to play like hymen,10/7/2018,3
that's who we'd like him decided to do,10/7/2018,3
and you know get to the net be on the,10/7/2018,3
inside all the time bring it every,10/7/2018,3
single night if he can do that he can,10/7/2018,3
play with good players,10/7/2018,3
yeah that was good you know what I like,10/7/2018,3
though is I like he's playing had to,10/7/2018,3
head with Mattie I thought that was,10/7/2018,3
really good and it was a good matchup a,10/7/2018,3
good opportunity for Matthews anytime,10/7/2018,3
you're playing against the determined,10/7/2018,3
leader like John is it's I think it's a,10/7/2018,3
real good opportunity for a young guy,10/7/2018,3
you know he's always been the best in my,10/7/2018,3
opinion for a long time in that role as,10/7/2018,3
a matchup guy and so when you can play,10/7/2018,3
well against the month that's important,10/7/2018,3
and obviously Tavares was unreal that,10/7/2018,3
line was unbelievable for us,10/7/2018,3
I mean there's a determined guy you're,10/7/2018,3
not getting a more determined guy in my,10/7/2018,3
opinion a better leader in hockey than,10/7/2018,3
that guy he knows how to play he's,10/7/2018,3
better in the big moments it doesn't,10/7/2018,3
matter who you play with him there are,10/7/2018,3
always good players they might not be,10/7/2018,3
but when they play with him they're good,10/7/2018,3
players and and that's what you want,10/7/2018,3
from Matthews you want a guy who's gonna,10/7/2018,3
you know he wants to be the best player,10/7/2018,3
in hockey in order to do that you got to,10/7/2018,3
play 200 feet you got to play with him,10/7/2018,3
without it,10/7/2018,3
what what do you take away from,10/9/2018,4
tonight's game Mike well two points of,10/9/2018,4
their team competed real hard at the,10/9/2018,4
start especially and I thought we had a,10/9/2018,4
pretty solid third period so a good,10/9/2018,4
night for a team you know obviously both,10/9/2018,4
power plays were real dangerous they had,10/9/2018,4
to be disciplined but a good win for a,10/9/2018,4
team well I would do it but I I liked,10/9/2018,4
her game throughout much more than I,10/9/2018,4
have like there are other games so we,10/9/2018,4
had good intensity good battle everybody,10/9/2018,4
was focused we had good detail in our,10/9/2018,4
game I like to give Y thought they were,10/9/2018,4
real good especially in the third period,10/9/2018,4
they just played in the ozone rolled,10/9/2018,4
around go it's a big body good defense,10/9/2018,4
Lee but I thought Lee Bo and Dennis were,10/9/2018,4
real good and we're on the puck and,10/9/2018,4
we're quick and played heavy so good for,10/9/2018,4
those guys comparisons between Zack and,10/9/2018,4
Caspari and what they offer to their,10/9/2018,4
respective lines with that effort yeah I,10/9/2018,4
mean you know different and I cap he's,10/9/2018,4
done it two nights in a row so I'm just,10/9/2018,4
you know I'm hoping it's gonna be three,10/9/2018,4
and then four and then be every night,10/9/2018,4
but I mean they both beat out Isis,10/9/2018,4
tonight x beats out ice and I know they,10/9/2018,4
didn't get my sis but we got an assist,10/9/2018,4
on that play there went where scores to,10/9/2018,4
put us up to basically a game-winner,10/9/2018,4
those are plays that I mean you gotta,10/9/2018,4
have in lead legs but you gotta be,10/9/2018,4
strong as an ox too and their,10/9/2018,4
determination is great so if Cathy can,10/9/2018,4
keep going obviously it's a real good,10/9/2018,4
sign for us,10/9/2018,4
four-point game for John Tavares tonight,10/11/2018,5
Mikey just continues to go on how do you,10/11/2018,5
put all of this into perspective as you,10/11/2018,5
get ready for a real big game on,10/11/2018,5
Saturday well I thought through two,10/11/2018,5
periods that our team played really well,10/11/2018,5
and we didn't give up much where the,10/11/2018,5
puck lots real while I didn't like her,10/11/2018,5
third as much didn't take care of the,10/11/2018,5
puck was good didn't keep her foot on,10/11/2018,5
the gas quit he's good but no it's a big,10/11/2018,5
win for us here tonight any way you look,10/11/2018,5
at it you know we got a couple of bonus,10/11/2018,5
points three we need six in her segment,10/11/2018,5
to make the playoffs and so we got a,10/11/2018,5
couple extra here tonight which is good,10/11/2018,5
you know I think it's great for all the,10/11/2018,5
guys that are doing some scoring right,10/11/2018,5
now makes you feel good in the end,10/11/2018,5
though you know it's about winning each,10/11/2018,5
and every night and it doesn't really,10/11/2018,5
matter on our team who does this score,10/11/2018,5
as long as we score enough I'm gonna,10/11/2018,5
find a way to win and I think the guy's,10/11/2018,5
been real good about that whether it's,10/11/2018,5
John or Matty or Mitch or any of those,10/11/2018,5
guys they know what they're here for and,10/11/2018,5
you know it's exciting time for our team,10/11/2018,5
but we got to get a lot better as you,10/11/2018,5
know well it's a hard league for a deep,10/11/2018,5
man you know and we got good offensive,10/11/2018,5
players up front and Morgan can pass and,10/11/2018,5
really skate I think Jake was a lot the,10/11/2018,5
same we're not as a deep kind of got one,10/11/2018,5
power play you don't right now is there,10/11/2018,5
- I'm really excited to come back well,10/11/2018,5
up - that'll make a difference there but,10/11/2018,5
obviously the more scoring you have from,10/11/2018,5
them the better off you are and I know,10/11/2018,5
we've gone off guys like that rounding,10/11/2018,5
the players that can really move the,10/11/2018,5
puck to overtime but it just takes time,10/11/2018,5
in the league and,10/11/2018,5
got confidence no one gives it to you,10/11/2018,5
got to earn it and you know I think you,10/11/2018,5
learned a lot last year and he's really,10/11/2018,5
come on again this year and you know he,10/11/2018,5
feels like every night he goes out there,10/11/2018,5
he can do something awesome what do you,10/11/2018,5
make of his superfast start here well I,10/11/2018,5
just think that he had a fast start last,10/11/2018,5
for two and then it was unfortunately,10/11/2018,5
got injured you know he's he's a big man,10/11/2018,5
he's really worked hard on his body he's,10/11/2018,5
worked harder than his skating worked,10/11/2018,5
hard on all parts of a game which is I,10/11/2018,5
think what when you look at our crew,10/11/2018,5
that's what most guys have done they've,10/11/2018,5
really improved and and when you like it,10/11/2018,5
you're willing to work gotta get a,10/11/2018,5
chance to keep getting better and no,10/11/2018,5
different than rise G you're in complex,10/11/2018,5
from being on the league and being,10/11/2018,5
around and understanding what it takes,10/11/2018,5
and no no just with him without the puck,10/11/2018,5
he's better yep just to get nothing to,10/11/2018,5
do with it decided before the game kind,10/11/2018,5
of these there's a little bit of bait it,10/11/2018,5
might be a nice day to walk around in,10/11/2018,5
Washington tomorrow well so they didn't,10/11/2018,5
want to listen to me and I didn't want,10/11/2018,5
to run practice or worked out perfect I,10/11/2018,5
was up it's good,10/11/2018,5
is there any what happened to 33 is we,10/11/2018,5
the wings,10/11/2018,5
what would you know I just I just said,10/11/2018,5
that I thought we'll make it clear this,10/11/2018,5
time is you know I thought we played,10/11/2018,5
really well through 40 minutes and then,10/11/2018,5
I think a moment kind of I don't want to,10/11/2018,5
put our foot on the brake but we were,10/11/2018,5
careful instead of going right after him,10/11/2018,5
but you have to learn to win and,10/11/2018,5
everybody wants us to be a finished,10/11/2018,5
product four games in five games in,10/11/2018,5
let's just not the real world,10/11/2018,5
and so we're just gonna keep getting,10/11/2018,5
better each and every day and give,10/11/2018,5
ourselves a chance to score the one time,10/11/2018,5
we're just the wait team's penalty kill,10/11/2018,5
now yet you know we can do it but a lot,10/11/2018,5
of teams it's it's harder to protect the,10/11/2018,5
puck on that side when you're in a one,10/11/2018,5
time position the trap come so hard are,10/11/2018,5
you from the top and we got I mean we've,10/11/2018,5
got good players obviously he can shoot,10/11/2018,5
it in that spot but because you have a,10/11/2018,5
number of other people that they got to,10/11/2018,5
worry about it would be way easier if,10/11/2018,5
you didn't you just had one guy but,10/11/2018,5
because you've got multiple people you,10/11/2018,5
got a pick kind of what they do and so,10/11/2018,5
that's what makes it well I think we,10/11/2018,5
just started you know over a period of,10/11/2018,5
time here and you know obviously we've,10/11/2018,5
gone through a number of players in the,10/11/2018,5
four-year process here to get here but,10/11/2018,5
we tried to build a team around really,10/11/2018,5
you know I've tried to make it safe form,10/11/2018,5
so it's like family and that's the idea,10/11/2018,5
you build a culture by making it safe,10/11/2018,5
for people so there was an,10/11/2018,5
accountability just like your family and,10/11/2018,5
in the end you have a chance to win in,10/11/2018,5
the end if you can do that and we think,10/11/2018,5
we've taken steps but I mean we're five,10/11/2018,5
games,10/11/2018,5
it's a much time or space out there,10/13/2018,6
would you think of your club to hang in,10/13/2018,6
for 40 minutes to get to do what they,10/13/2018,6
didn't yeah I mean obviously in first,10/13/2018,6
ten minutes weren't very good I don't,10/13/2018,6
know or whatever were very good but I,10/13/2018,6
thought we settled in and played pretty,10/13/2018,6
well and we had some quality chances,10/13/2018,6
really didn't bury him and we were able,10/13/2018,6
to finally get get it going a little bit,10/13/2018,6
my thought here was our best period of,10/13/2018,6
the night two points for us well,10/13/2018,6
obviously in both goaltenders tonight,10/13/2018,6
throw some good chances and point-blank,10/13/2018,6
chances and so I thought you know we had,10/13/2018,6
some bell ringers in the first never got,10/13/2018,6
anything out of it had some bell ringers,10/13/2018,6
down the stretch they were so pretty,10/13/2018,6
made some good saves and it's good to,10/13/2018,6
see and you know they go one on the,10/13/2018,6
power play from the side on a really,10/13/2018,6
good shot what's it like for you to see,10/13/2018,6
him get that first one now,10/13/2018,6
well I you're saying he's a real good,10/13/2018,6
player and his best game - those are,10/13/2018,6
gonna be real important pieces to us as,10/13/2018,6
we move ahead anytime you can find free,10/13/2018,6
players it's positive and these guys are,10/13/2018,6
super intelligent you know I mean he,10/13/2018,6
doesn't need to speak the language but,10/13/2018,6
he's getting better every day so look be,10/13/2018,6
a big part of things to come when we got,10/13/2018,6
this guy who does his work,10/13/2018,6
oh no not really I think you have an off,10/13/2018,6
day to get back to work obviously you,10/13/2018,6
know they would be ready to go and we're,10/13/2018,6
gonna have to get prepared so feel good,10/13/2018,6
we're good on the way home it's nice to,10/13/2018,6
have an off day after a win but we got,10/13/2018,6
to get back right I think you have to,10/13/2018,6
have that obviously it's great that our,10/13/2018,6
big guys got off to a real good start,10/13/2018,6
because I think having them feeling good,10/13/2018,6
is so important and saying that part of,10/13/2018,6
the reason we're gonna have success is,10/13/2018,6
because we got a real good depth both,10/13/2018,6
teams tonight had real good depth and it,10/13/2018,6
was obvious from the games that went on,10/13/2018,6
you can't play in high-level games like,10/13/2018,6
this without four lines that can really,10/13/2018,6
play,10/13/2018,6
response after a long road trip and,10/15/2018,7
dealt with a bit of adversity this,10/15/2018,7
morning with going out yeah I mean,10/15/2018,7
obviously a good night for Sparky played,10/15/2018,7
much better which was good I thought her,10/15/2018,7
team was pretty solid in the second,10/15/2018,7
there we took a bunch of penalties and,10/15/2018,7
then there are people on the ice for bit,10/15/2018,7
and I didn't think were very good at,10/15/2018,7
that point in the game but other now at,10/15/2018,7
Electress to be starting on when do we,10/15/2018,7
play next you'll be starting on Thursday,10/15/2018,7
what's that know we knew we just wanted,10/15/2018,7
to check but as soon as we knew that he,10/15/2018,7
was anything we just decided that we're,10/15/2018,7
going the other way,10/15/2018,7
well I don't know yeah opportunity I,10/15/2018,7
mean is one but you got to be ready for,10/15/2018,7
your opportunity in life when it comes,10/15/2018,7
along that's like any job and it's great,10/15/2018,7
to get the job you gotta be able to do,10/15/2018,7
the job and so you know obviously his,10/15/2018,7
three years previous in the work he's,10/15/2018,7
put in how much stronger has gotten more,10/15/2018,7
poised and he's taking advantage of you,10/15/2018,7
gotta come credit he's he's scoring at,10/15/2018,7
an unbelievable rate and but he's,10/15/2018,7
physical and he's fast and he's,10/15/2018,7
tenacious and that lines been good and,10/15/2018,7
plenty against good players tonight and,10/15/2018,7
he was good well you know what I like to,10/15/2018,7
put Austin tonight is he played,10/15/2018,7
head-to-head Kopitar and it was really,10/15/2018,7
good and you know we're blessed to have,10/15/2018,7
a guy that can play with him without and,10/15/2018,7
without sighs and now with the skating,10/15/2018,7
the way it is you know he was a real,10/15/2018,7
player and he's just growing he's just a,10/15/2018,7
kid he's just gonna get better and so,10/15/2018,7
you know he's dangerous when he's on the,10/15/2018,7
ice and that lines a good line right now,10/15/2018,7
so we're fortunate that we we appear to,10/15/2018,7
have quite a bit of depth we still are,10/15/2018,7
kind of evolving trying to figure out,10/15/2018,7
how to play everybody but you know I,10/15/2018,7
think we're going the right direction,10/15/2018,7
ya know is good player I said all the,10/15/2018,7
time telogen player you know I don't,10/15/2018,7
know where I think it was for Thunder,10/15/2018,7
team last year and five on five scoring,10/15/2018,7
doesn't get to play on a power play and,10/15/2018,7
I don't know where he is,10/15/2018,7
this year on it but you know he,10/15/2018,7
generates good offense and forecheck and,10/15/2018,7
heavy play that line wasn't heavy enough,10/15/2018,7
tonight,10/15/2018,7
they didn't spin around in the ozone,10/15/2018,7
like they normally do but they were,10/15/2018,7
still effective yeah I mean I just think,10/15/2018,7
that apparently killed you know I think,10/15/2018,7
EJ doesn't his job we've got a good,10/15/2018,7
scheme good players Lind homecoming now,10/15/2018,7
gives us another elite penalty killer,10/15/2018,7
real good mind real smart so that helps,10/15/2018,7
out as well and then you know two verse,10/15/2018,7
can take draws for us I don't even know,10/15/2018,7
if I use mention tonight on the family,10/15/2018,7
killed or not tell you the truth but,10/15/2018,7
easing that well it probably didn't,10/15/2018,7
because he was in the Box all the time,10/15/2018,7
the observations might get inside the,10/18/2018,8
room I didn't give you guys enough,10/18/2018,8
second chance is the initial opportunity,10/18/2018,8
the secondary no I agree with that I,10/18/2018,8
thought my doctor team played good I,10/18/2018,8
didn't think there was tons of room out,10/18/2018,8
there tonight I thought they played fast,10/18/2018,8
played with good structure you know it's,10/18/2018,8
not often you see our team get no goals,10/18/2018,8
and the other thing I'd say to you is,10/18/2018,8
that you know I just thought they did a,10/18/2018,8
good job and I thought there was no room,10/18/2018,8
they kept us on the outside a bit I like,10/18/2018,8
threw players I thought their players,10/18/2018,8
played good,10/18/2018,8
well that thought they did a good job of,10/18/2018,8
that uh you know I mean it's one nothing,10/18/2018,8
game right and it's it's a grind out,10/18/2018,8
there and there's no room I thought they,10/18/2018,8
were better than us in the first I,10/18/2018,8
thought we took over for about fourteen,10/18/2018,8
minutes of the second then they,10/18/2018,8
dominated the last six minutes of the,10/18/2018,8
second but you know when you're good,10/18/2018,8
team and you're playing good teams,10/18/2018,8
there's no room that's just the reality,10/18/2018,8
it gets to be like there's no room and,10/18/2018,8
so you have to find a way to play your,10/18/2018,8
game within the no room yeah I mean you,10/18/2018,8
always want that at them to get it right,10/18/2018,8
they missed it too those things happen,10/18/2018,8
yeah you know I think I think all,10/18/2018,8
victories you got to earn and it was,10/18/2018,8
right there for us to find another step,10/18/2018,8
and to get better and find a way to get,10/18/2018,8
on the inside a little more and they did,10/18/2018,8
a good job and they kept us from doing,10/18/2018,8
that so there's a lesson learned in that,10/18/2018,8
and you know there were more veteran,10/18/2018,8
polish playoff team than we are and,10/18/2018,8
Mitchell,10/18/2018,8
well I thought I actually thought we,10/20/2018,9
skated a real good at the start but I,10/20/2018,9
thought st. Louis came in here to play,10/20/2018,9
hard they were on the inside they backed,10/20/2018,9
check they worked hard we stayed on the,10/20/2018,9
outside never got the puck Lynette never,10/20/2018,9
got inside in the end they worked hard,10/20/2018,9
and we did they compete they competed,10/20/2018,9
harder on the puck in the hard areas and,10/20/2018,9
we turned the puck over and weren't good,10/20/2018,9
enough so I thought we had a bit of that,10/20/2018,9
the other night and then you know,10/20/2018,9
obviously we're figuring out that we,10/20/2018,9
scored her early we scored easy you know,10/20/2018,9
what was pretty loose and everything was,10/20/2018,9
great now we're finding out it's the NHL,10/20/2018,9
it's hard to score teams compete hard on,10/20/2018,9
yeah teams adjust and they're gonna play,10/20/2018,9
a heart and so we gotta get our mojo,10/20/2018,9
back but going to work and we'll do that,10/20/2018,9
we'll go to work tomorrow on and take it,10/20/2018,9
off to a money and then have another,10/20/2018,9
work day before we go to Winnipeg so not,10/20/2018,9
good enough,10/20/2018,9
well I like to parts that I don't think,10/20/2018,9
we've been as good but I mean I just,10/20/2018,9
talked above the puck numbers at their,10/20/2018,9
line people inside working are competing,10/20/2018,9
hard but that's the NHL I mean you can't,10/20/2018,9
expect it to be like it was I don't,10/20/2018,9
think anybody's actually thinking that,10/20/2018,9
we got off to a good start,10/20/2018,9
and then we haven't been as good as we,10/20/2018,9
need to be to be successful so let's get,10/20/2018,9
a turn around and get feeling good about,10/20/2018,9
ourselves,10/20/2018,9
yeah well good thing about it I don't,10/20/2018,9
have to decide that right now by the,10/20/2018,9
time I'm done watching the game tape,10/20/2018,9
prior to practice and then I'll have a,10/20/2018,9
good handle on that oh yeah I mean for,10/20/2018,9
sure you can put everything back or you,10/20/2018,9
can change it all we'll see but we'll,10/20/2018,9
look at it carefully without emotion and,10/20/2018,9
then make that decision,10/20/2018,9
what will you take from another road win,10/24/2018,10
here Mike and get ready to head back to,10/24/2018,10
drama boy real simple for us if you want,10/24/2018,10
to play right and you want to play hard,10/24/2018,10
and suddenly you look fast again we've,10/24/2018,10
looked real slow the last two games and,10/24/2018,10
didn't come out of our own zone and,10/24/2018,10
tonight we look fast third period you,10/24/2018,10
know we still gotta learn how to win,10/24/2018,10
there's no reason to play in your own,10/24/2018,10
zone,10/24/2018,10
you could still play in the offensive,10/24/2018,10
zone and keep your foot on the gas so,10/24/2018,10
that'll come with time but big win for,10/24/2018,10
our team here tonight and you know we,10/24/2018,10
got a day off tomorrow good practice and,10/24/2018,10
we get Winnipeg again it's nice to play,10/24/2018,10
the same good team twice in a row well,10/24/2018,10
that's that was a huge goal for us,10/24/2018,10
obviously Bojana but I mean it's winning,10/24/2018,10
face off sets stopped on the right spots,10/24/2018,10
it's stand composed so you keep,10/24/2018,10
attacking instead of back you know those,10/24/2018,10
are all things you learn how to do,10/24/2018,10
booing and when you got a lot of kids,10/24/2018,10
often it takes you a little bit of time,10/24/2018,10
but you learn over time but I liked our,10/24/2018,10
effort tonight I thought we'd compete it,10/24/2018,10
I thought we skated that we worked and,10/24/2018,10
you know we hadn't seen that in a couple,10/24/2018,10
games so it was good to see that back,10/24/2018,10
again and it's good for the guys to,10/24/2018,10
leave the ring feeling good well I mean,10/24/2018,10
innocent Calgary you know get him off to,10/24/2018,10
tonight and obviously and as he heard,10/24/2018,10
one off the bar there later,10/24/2018,10
I mean he's important goal scorer for us,10/24/2018,10
we need him to feel good their line is,10/24/2018,10
getting away better obviously their,10/24/2018,10
important line for us we expect them to,10/24/2018,10
play important minutes and we need him,10/24/2018,10
to score he knows that so it's good he's,10/24/2018,10
stuck with it and kept working and you,10/24/2018,10
know know they'll start going in for,10/24/2018,10
OJ's effort on the goal and in terms of,10/24/2018,10
getting all four lines into it tonight,10/24/2018,10
what do you think yeah I mean they,10/24/2018,10
didn't play for lives you know so what's,10/24/2018,10
tough getting your guys on the ice there,10/24/2018,10
and just the way the game was but in,10/24/2018,10
saying that you know obviously goat you,10/24/2018,10
always guys start our line up and it,10/24/2018,10
finds a way to play every night so he's,10/24/2018,10
doing good stuff,10/24/2018,10
top line that you expect to see and make,10/24/2018,10
these kind of plays now well you're,10/24/2018,10
expecting them to do it on a regular,10/24/2018,10
basis oh it's real clear he understands,10/24/2018,10
his good players do it every day and,10/24/2018,10
then they keep getting better they don't,10/24/2018,10
get satisfied to get hungrier and when,10/24/2018,10
you're around good players and Matthews,10/24/2018,10
but a real good veteran and Marlowe I,10/24/2018,10
mean they keep you pretty even keel and,10/24/2018,10
yeah and we need him to be a good player,10/24/2018,10
for us he's done,10/24/2018,10
describe it Mike there's a character,10/27/2018,11
victory to come back after losing Austin,10/27/2018,11
as early as you did and then yeah I mean,10/27/2018,11
the game they were playing harder than,10/27/2018,11
us you know would beat him earlier in,10/27/2018,11
the week and they were competing at a,10/27/2018,11
level we weren't quite as competitive as,10/27/2018,11
em we did some silly things like their,10/27/2018,11
power play goal should have been down,10/27/2018,11
200 feet we we told drag that her blue,10/27/2018,11
line with 2d active twice for two,10/27/2018,11
breakaway Freddy stopped one and tried,10/27/2018,11
to scored on the other one and then you,10/27/2018,11
know we made a decision to come out and,10/27/2018,11
play right in the third and when we did,10/27/2018,11
that we were fortunate to in the end get,10/27/2018,11
it to go your way but it's a good win,10/27/2018,11
for our team and anytime you get a real,10/27/2018,11
good team twice in a week and you can,10/27/2018,11
get it done it's positive he's got a no,10/27/2018,11
shoulder injury they'll look at it on,10/27/2018,11
Monday and we'll know more on Monday,10/27/2018,11
it's not practicing tomorrow and won't,10/27/2018,11
be playing on I think we play Monday,10/27/2018,11
right I won't be playing on Monday and,10/27/2018,11
then you know we'll know more at that,10/27/2018,11
time so we'll give me an update on,10/27/2018,11
Monday he's not ready right away for,10/27/2018,11
sure no it's not the same shoulder it's,10/27/2018,11
not you know he did his work this summer,10/27/2018,11
got way stronger built muscle around his,10/27/2018,11
shoulder joints to protect himself,10/27/2018,11
sometimes things happen,10/27/2018,11
well what we did is we just thought we,10/27/2018,11
didn't have any lines we thought that we,10/27/2018,11
thought that Hyman and John could do,10/27/2018,11
whatever we didn't have anything going,10/27/2018,11
we needed to change we knew that had,10/27/2018,11
worked in the past you can kind of give,10/27/2018,11
us a match up against a flee and free up,10/27/2018,11
to viruses lying a little bit that's,10/27/2018,11
what we tried to do yeah no we'll look,10/27/2018,11
at it here tomorrow we'll look at the,10/27/2018,11
game and figure out what direction we're,10/27/2018,11
going to go I don't know if we've done,10/27/2018,11
that this year at home had we done this,10/27/2018,11
year at home I don't know if we had,10/27/2018,11
normally at home we we tighten up when,10/27/2018,11
we've given up a goal I didn't think,10/27/2018,11
that happened today I thought we just,10/27/2018,11
