Player,Tm,Salary,Cap Hit
Joonas Donskoi,COL,4900000,3900000
Travis Hamonic,CGY,4875000,3857143
"Brodie, TJ",CGY,4838000,4650400
Tyler Toffoli,LAK,4800000,4600000
Ian Cole,COL,4750000,4250000
Craig Smith,NSH,4750000,4250000
Justin Abdelkader,DET,4750000,4250000
Jonas Brodin,MIN,4750000,4166667
Alex Tuch,VEG,4750000,4750000
Marco Scandella,BUF,4750000,4000000
David Perron,STL,4750000,4000000
Calvin de Haan,CHI,4700000,4550000
Damon Severson,NJD,4675000,4166666
Karl Alzner,MTL,4625000,4625000
Brendan Smith,NYR,4525000,4350000
Brandon Sutter,VAN,4500000,4375000
Brayden Schenn,STL,4500000,5125000
Ryan Murray,CBJ,4500000,4600000
Oscar Klefbom,EDM,4500000,4167000
Erik Gudbranson,PIT,4500000,4000000
Nikita Zaitsev,OTT,4500000,4500000
Cody Ceci,TOR,4500000,4500000
Sean Couturier,PHI,4500000,4333333
Sami Vatanen,NJD,4500000,4875000
Tom Wilson,WSH,4500000,5166666
Nazem Kadri,COL,4500000,4500000
Alex Killorn,TBL,4450000,4450000
Jake Muzzin,TOR,4450000,4000000
Connor Murphy,CHI,4400000,3850000
Kasperi Kapanen,TOR,4400000,3200000
Patrice Bergeron,BOS,4375000,6875000
Dmitry Kulikov,WPG,4333333,4333333
Viktor Arvidsson,NSH,4250000,4250000
Josh Manson,ANA,4250000,4100000
Jonathan Ericsson,DET,4250000,4250000
Charlie Coyle,BOS,4250000,3200000
Alec Martinez,LAK,4150000,4000000
Nick Bonino,NSH,4100000,4100000
Brian Dumoulin,PIT,4100000,4100000
Olli Maatta,CHI,4083300,4083333
Brett Pesce,CAR,4025000,4025000
Brendan Gallagher,MTL,4000000,3750000
Vladislav Namestnikov,NYR,4000000,4000000
David Backes,BOS,4000000,6000000
Jack Johnson,PIT,4000000,3250000
Carl Soderberg,ARI,4000000,4750000
Craig Anderson,OTT,4000000,4750000
Chris Kreider,NYR,4000000,4625000
Timo Meier,SJS,4000000,6000000
Jacob Markstrom,VAN,4000000,3666667
Mathieu Perreault,WPG,4000000,4125000
Artem Anisimov,CHI,4000000,4550000
Lars Eller,WSH,4000000,3500000
Boone Jenner,CBJ,4000000,3750000
Mattias Ekholm,NSH,4000000,3750000
Martin Hanzal,DAL,4000000,4750000
Andrei Vasilevskiy,TBL,4000000,3500000
Jeff Petry,MTL,4000000,5500000
Roman Josi,NSH,4000000,4000000
Paul Byron,MTL,4000000,3400000
Kris Russell,EDM,4000000,4000000
Victor Rask,MIN,4000000,4000000
Jimmy Howard,DET,4000000,4000000
Brenden Dillon,SJS,3900000,3270000
Philipp Grubauer,COL,3900000,3333333
Colin Miller,BUF,3875000,3875000
Cody Eakin,VEG,3850000,3850000
Tanner Pearson,VAN,3850000,3750000
Justin Braun,PHI,3800000,3800000
Rickard Rakell,ANA,3800000,3789444
Antoine Roussel,VAN,3800000,3000000
Michael Grabner,ARI,3775000,3350000
Casey Cizikas,NYI,3750000,3350000
Matt Murray,PIT,3750000,3750000
Thomas Greiss,NYI,3750000,3333333
Sam Reinhart,BUF,3750000,3650000
Sven Baertschi,VAN,3700000,3366666
"Dadonov, Evgeni",FLA,3600000,4000000
Brandon Montour,BUF,3525000,3387500
Duncan Keith,CHI,3500000,5538462
Ron Hainsey,OTT,3500000,3500000
Mark Pysyk,FLA,3500000,2733333
Cal Clutterbuck,NYI,3500000,3500000
"Matheson, Michael",FLA,3500000,4875000
Ben Chiarot,MTL,3500000,3500000
Carl Hagelin,WSH,3500000,2750000
Michael Stone,CGY,3500000,3500000
Brett Connolly,FLA,3500000,3500000
Marcus Foligno,MIN,3500000,2875000
Bryan Rust,PIT,3500000,3500000
Eric Staal,MIN,3500000,3250000
Brandon Tanev,PIT,3500000,3500000
Leo Komarov,NYI,3500000,3000000
Devan Dubnyk,MIN,3500000,4333333
Jean-Gabriel Pageau,OTT,3400000,3100000
Anthony Mantha,DET,3300000,3300000
Christian Dvorak,ARI,3250000,4450000
Andrew Shaw,CHI,3250000,3900000
John Moore,BOS,3250000,2750000
Andrew Cogliano,DAL,3250000,3250000
Jay Bouwmeester,STL,3250000,3250000
Zack Smith,OTT,3250000,3250000
Jonathan Bernier,DET,3250000,3000000
Travis Sanheim,PHI,3250000,3250000
Richard Panik,WSH,3200000,2750000
Patrik Nemeth,DET,3200000,3000000
Jay Beagle,VAN,3200000,3000000
Sam Gagner,EDM,3200000,3150000
Darnell Nurse,EDM,3200000,3200000
Ryan Strome,NYR,3200000,3100000
Nikita Zadorov,COL,3200000,3200000
Jason Demers,ARI,3150000,3937500
"Morrissey, Joshua",WPG,3150000,3150000
Max Domi,MTL,3150000,3150000
Derek Ryan,CGY,3125000,3125000
James Reimer,CAR,3100000,3400000
Andreas Athanasiou,DET,3000000,3000000
Patrick Eaves,ANA,3000000,3150000
Conor Sheary,BUF,3000000,3000000
Tyson Barrie,TOR,3000000,2750000
Vladimir Sobotka,BUF,3000000,3500000
Nick Schmaltz,ARI,3000000,5850000
Darren Helm,DET,3000000,3850000
Michael Frolik,CGY,3000000,4300000
Nick Jensen,WSH,3000000,2500000
Phillip Danault,MTL,3000000,3083333
Petr Mrazek,CAR,3000000,3125000
Mikkel Boedker,OTT,3000000,4000000
Valtteri Filppula,DET,3000000,3000000
Mike Condon,OTT,3000000,2400000
Jeff Carter,LAK,3000000,5272727
Chris Tierney,OTT,2975000,2937500
Matt Calvert,COL,2925000,2850000
Anders Nilsson,OTT,2800000,2600000
Derek Forbort,LAK,2800000,2525000
Ryan Reaves,VEG,2775000,2775000
Erik Haula,CAR,2750000,2750000
Adam Lowry,WPG,2750000,2916666
Riley Nash,CBJ,2750000,2750000
Carter Hutton,BUF,2750000,2750000
Cam Talbot,CGY,2750000,2750000
Michal Kempny,WSH,2700000,2500000
Ryan Pulock,NYI,2650000,2000000
Jakob Chychrun,ARI,2600000,4600000
Blake Comeau,DAL,2600000,2400000
Colin Wilson,COL,2600000,2600000
Ondrej Kase,ANA,2600000,2600000
Brayden McNabb,VEG,2500000,2500000
Miles Wood,NJD,2500000,2750000
Trevor van Riemsdyk,CAR,2500000,2300000
Kevan Miller,BOS,2500000,2500000
Oliver Bjorkstrand,CBJ,2500000,2500000
Thomas Hickey,NYI,2500000,2500000
Frank Vatrano,FLA,2500000,2533333
Zach Hyman,TOR,2500000,2250000
Anton Khudobin,DAL,2500000,2500000
Markus Nutivaara,CBJ,2500000,2700000
Radek Faksa,DAL,2400000,2200000
Jordie Benn,VAN,2400000,2000000
Devin Shore,ANA,2400000,2300000
Jimmy Vesey,BUF,2350000,2275000
Troy Stecher,VAN,2325000,2325000
Mattias Janmark,DAL,2300000,2300000
Greg Pateryn,MIN,2250000,2250000
Jaroslav Halak,BOS,2250000,2750000
Trevor Daley,DET,2200000,3166666
Calle Jarnkrok,NSH,2200000,2000000
Pierre-Edouard Bellemare,COL,2150000,1800000
Alex Chiasson,EDM,2150000,2150000
Josh Anderson,CBJ,2100000,1850000
Connor Brown,OTT,2100000,2100000
Darcy Kuemper,ARI,2100000,1850000
"Benning, Matthew",EDM,2000000,1900000
Zdeno Chara,BOS,2000000,2000000
Garnet Hathaway,WSH,2000000,1500000
Brian Elliott,PHI,2000000,2000000
Noel Acciari,FLA,2000000,1666667
Zack Kassian,EDM,2000000,1950000
Trevor Lewis,LAK,2000000,2000000
Brandon Manning,EDM,2000000,2250000
"Smith, Mike",EDM,2000000,2000000
Melker Karlsson,SJS,2000000,2000000
"Nieto, Matt",COL,1975000,1975000
Jamie Oleksiak,DAL,1962500,2137500
Brett Kulak,MTL,1950000,1850000
Jesper Fast,NYR,1950000,1850000
Adam Pelech,NYI,1925000,1600000
Tim Schaller,VAN,1900000,1900000
Kyle Clifford,LAK,1900000,1600000
Ryan Hartman,MIN,1900000,1900000
Jordan Martinook,CAR,1850000,2000000
Michael Raffl,PHI,1800000,1600000
Braydon Coburn,TBL,1800000,1700000
Nick Holden,VEG,1800000,2200000
Blake Coleman,NJD,1800000,1800000
Mark Jankowski,CGY,1750000,1675000
Matt Hunwick,BUF,1750000,2250000
Carl Gunnarsson,STL,1750000,1750000
Dale Weise,MTL,1750000,2350000
Keith Kinkaid,MTL,1750000,1750000
Roman Polak,DAL,1750000,1750000
Matt Martin,NYI,1750000,2500000
Radko Gudas,WSH,1750000,2345000
Luke Glendening,DET,1700000,1800000
Anthony Duclair,OTT,1650000,1650000
Cedric Paquette,TBL,1650000,1650000
Aaron Dell,SJS,1600000,1900000
Scott Harrington,CBJ,1600000,1633333
Zemgus Girgensons,BUF,1600000,1600000
Josh Leivo,VAN,1500000,1500000
Mike Reilly,MTL,1500000,1500000
Drake Caggiula,CHI,1500000,1500000
Steven Santini,NSH,1500000,1416666
Juuse Saros,NSH,1500000,1500000
Vinnie Hinostroza,ARI,1500000,1500000
Andrej Sekera,DAL,1500000,1500000
Kevin Connauton,COL,1500000,1375000
Matt Beleskey,NYR,1500000,1900000
Marcus Sorensen,SJS,1500000,1500000
Corey Perry,DAL,1500000,1500000
Jake Virtanen,VAN,1500000,1250000
"Merrill, Jon",VEG,1475000,1375000
Sean Kuraly,BOS,1475000,1275000
Mark Barberio,COL,1450000,1450000
Brad Richardson,ARI,1400000,1250000
Erik Gustafsson,CHI,1400000,1200000
Tyler Bertuzzi,DET,1400000,1400000
Nick Ritchie,ANA,1400000,1498925
Matt Grzelcyk,BOS,1400000,1400000
Robert Bortuzzo,STL,1375000,1375000
Matthew Peca,MTL,1300000,1300000
Markus Granlund,EDM,1300000,1300000
Jordan Weal,MTL,1300000,1400000
Jan Rutta,TBL,1300000,1300000
Curtis McElhinney,TBL,1300000,1300000
Robert Hagg,PHI,1300000,1150000
Jared McCann,PIT,1250000,1250000
Chris Wagner,BOS,1250000,1250000
Austin Czarnik,CGY,1250000,1250000
Laurent Brossoit,WPG,1225000,1225000
Colton Sceviour,FLA,1200000,1200000
Austin Watson,NSH,1200000,1100000
Kyle Brodziak,EDM,1200000,1150000
Scott Mayfield,NYI,1200000,1450000
Mark Borowiecki,OTT,1200000,1200000
Jordan Oesterle,ARI,1200000,1400000
Joonas Korpisalo,CBJ,1150000,1150000
Louis Domingue,TBL,1150000,1150000
Collin Delia,CHI,1150000,1000000
Ryan Miller,ANA,1125000,1125000
Jujhar Khaira,EDM,1100000,1200000
Joakim Nordstrom,BOS,1100000,1000000
Scott Wilson,BUF,1100000,1050000
Pheonix Copley,WSH,1050000,1100000
Ryan Carpenter,CHI,1000000,1000000
Nathan Beaulieu,WPG,1000000,1000000
Madison Bowey,DET,1000000,1000000
Casey DeSmith,PIT,1000000,1250000
Tomas Nosek,VEG,1000000,1000000
Dan Hamhuis,NSH,1000000,1250000
Tyler Pitlick,PHI,1000000,1000000
Brett Ritchie,BOS,1000000,1000000
Carter Rowney,ANA,1000000,1133333
Ross Johnston,NYI,1000000,1000000
Barclay Goodrow,SJS,1000000,925000
Lawson Crouse,ARI,1000000,1533333
Nick Cousins,MTL,1000000,1000000
"Persson, Joel",EDM,1000000,1000000
David Kampf,CHI,1000000,1000000
Nate Thompson,MTL,1000000,1000000
Tyler Motte,VAN,975000,975000
Tim Heed,SJS,960000,960000
Nicolas Deslauriers,ANA,950000,950000
Jacob de La Rose,DET,950000,900000
Pavel Francouz,COL,950000,950000
Oskar Lindblom,PHI,925000,925000
Rasmus Dahlin,BUF,925000,925000
Carl Grundstrom,LAK,925000,925000
Dante Fabbro,NSH,925000,925000
"Nygård, Joakim",EDM,925000,925000
Nolan Patrick,PHI,925000,925000
Troy Terry,ANA,925000,925000
Michael Rasmussen,DET,925000,894166
Lias Andersson,NYR,925000,894166
Slater Koekkoek,CHI,925000,925000
Blake Lizotte,LAK,925000,925000
Juuso Valimaki,CGY,925000,894166
Dominik Kahun,PIT,925000,925000
Filip Chytil,NYR,925000,894166
Adam Gaudette,VAN,925000,916666
Miro Heiskanen,DAL,925000,894166
Ryan Poehling,MTL,925000,925000
Cale Makar,COL,925000,880833
Casey Mittelstadt,BUF,925000,925000
Martin Necas,CAR,925000,863333
Elias Pettersson,VAN,925000,925000
Robert Thomas,STL,925000,894166
Jesperi Kotkaniemi,MTL,925000,925000
Libor Hajek,NYR,925000,833333
Roope Hintz,DAL,925000,811667
Andrei Svechnikov,CAR,925000,925000
Brady Tkachuk,OTT,925000,925000
Nico Hischier,NJD,925000,925000
Adam Fox,NYR,925000,925000
Max Veronneau,OTT,925000,925000
"Hughes, Quintin",VAN,925000,916666
Henrik Borgström,FLA,925000,925000
Alex Stalock,MIN,905000,785000
Thatcher Demko,VAN,900000,1050000
Dylan DeMelo,OTT,900000,900000
Elvis Merzlikins,CBJ,874125,874125
Eric Robinson,CBJ,874125,874125
Ilya Lyubushkin,ARI,874125,874125
Oscar Fantenberg,VAN,850000,850000
Korbinian Holzer,ANA,850000,850000
Tom Kuhnhackl,NYI,850000,850000
"Blais, Samuel",STL,850000,850000
Paul Ladue,LAK,850000,825000
Juuso Riikola,PIT,850000,850000
Par Lindholm,BOS,850000,850000
Sami Niku,WPG,840000,775000
Travis Dermott,TOR,832500,863333
Tyson Jost,COL,832500,885833
Christian Fischer,ARI,832500,821666
Evgeny Svechnikov,DET,832500,863333
Brett Howden,NYR,832500,863333
Jake Debrusk,BOS,832500,863333
Clayton Keller,ARI,832500,885833
Mikhail Sergachev,TBL,832500,894166
Mathew Barzal,NYI,832500,863333
Thomas Chabot,OTT,832500,863333
Dylan Strome,CHI,832500,863333
Pierre-Luc Dubois,CBJ,832500,894166
Jack Roslovic,WPG,832500,894166
Tucker Poolman,WPG,825000,775000
Casey Nelson,BUF,825000,812500
Christian Jaros,OTT,805000,755000
Dalton Prout,SJS,800000,800000
Carl Dahlstrom,CHI,800000,850000
Alex DeBrincat,CHI,800000,778333
Tyler Ennis,OTT,800000,800000
Anthony Stolarz,ANA,800000,750000
John Hayden,NJD,800000,750000
Christian Wolanin,OTT,800000,900000
Steven Kampfer,BOS,800000,800000
Ben Harpur,TOR,800000,725000
Christian Folin,MTL,800000,800000
Travis Boyd,WSH,800000,800000
Alexandar Georgiev,NYR,792500,792500
Dillon Dube,CGY,792500,778333
Austin Wagner,LAK,792500,759167
Jesper Bratt,NJD,782500,749167
Warren Foegele,CAR,780000,746667
Vince Dunn,STL,775000,722500
Brandon Pirri,VEG,775000,775000
Rasmus Andersson,CGY,775000,755833
Karson Kuhlman,BOS,775000,750000
Sean Walker,LAK,770000,745000
Jacob Middleton,SJS,770000,735000
Victor Mete,MTL,760000,748333
Alex Lyon,PHI,750000,750000
Daniel Sprong,ANA,750000,750000
Dominik Simon,PIT,750000,750000
Nick Seeler,MIN,750000,725000
Nick Shore,TOR,750000,750000
Charlie Lindgren,MTL,750000,750000
Calle Rosen,COL,750000,750000
Jonas Siegenthaler,WSH,750000,714166
Mackenzie MacEachern,STL,750000,750000
Trevor Moore,TOR,750000,775000
Justin Dowling,DAL,750000,750000
Miikka Salomaki,NSH,750000,750000
Dean Kukan,CBJ,750000,725000
Connor Clifton,BOS,750000,725000
Markus Hannikainen,CBJ,750000,750000
Jon Gillies,CGY,750000,750000
Tomas Jurco,EDM,750000,750000
Devon Toews,NYI,750000,700000
"Petan, Nicolas",TOR,750000,775000
Conor Garland,ARI,750000,775000
Curtis McKenzie,VEG,750000,750000
Greg McKegg,NYR,750000,750000
Oliver Kylington,CGY,750000,730833
Alan Quine,CGY,735000,735000
Joakim Ryan,LAK,725000,725000
William Carrier,VEG,725000,725000
"Gibbons, Brian",CAR,725000,725000
Alex Biega,VAN,700000,825000
Brendan Guhle,ANA,700000,697500
Brad Hunt,MIN,700000,700000
Luke Schenn,TBL,700000,700000
Jason Spezza,TOR,700000,700000
Tanner Fritz,NYI,700000,700000
Samuel Girard,COL,700000,728333
"Varone, Philip",MTL,700000,700000
"Brown, Joshua",FLA,700000,675000
Lucas Wallmark,CAR,700000,675000
Michael Hutchinson,TOR,700000,700000
Jonny Brodzinski,SJS,700000,700000
Justin Bailey,VAN,700000,700000
Taylor Fedun,DAL,700000,737500
Kevin Rooney,NJD,700000,700000
J.T. Brown,MIN,700000,687500
Danick Martel,TBL,700000,700000
Frederick Gaudreau,NSH,700000,666666
Adam Clendening,CBJ,700000,700000
Kurtis MacDermid,LAK,700000,675000
Lukas Radil,SJS,700000,700000
"Nieves, Cristoval",NYR,700000,700000
Philippe Myers,PHI,700000,678889
Mathieu Joseph,TBL,700000,728333
Colby Cave,EDM,700000,675000
Justin Holl,TOR,700000,675000
Samuel Morin,PHI,700000,700000
Brendan Leipsic,WSH,700000,700000
Valentin Zykov,VEG,700000,675000
Chad Ruhwedel,PIT,700000,700000
Calvin Pickard,DET,700000,750000
Anthony Cirelli,TBL,700000,728333
Radim Simek,SJS,700000,675000
Ashton Sautner,VAN,700000,675000
Jordan Schmaltz,STL,700000,700000
Martin Marincin,TOR,700000,700000
MacKenzie Blackwood,NJD,700000,697500
Nic Dowd,WSH,700000,750000
Zach Trotman,PIT,700000,700000
Erik Cernak,TBL,700000,697500
Mario Kempe,LAK,700000,700000
Frederik Gauthier,TOR,700000,675000
Matt Irwin,NSH,700000,675000
Carter Hart,PHI,700000,730833
Kurtis Gabriel,PHI,700000,700000
Guillaume Brisebois,VAN,700000,697500
Derrick Pouliot,STL,700000,700000
Derek Grant,ANA,700000,700000
Jack Campbell,LAK,700000,675000
Luke Witkowski,TBL,700000,700000
Kenny Agostino,TOR,700000,700000
Yannick Weber,NSH,700000,"675,00"
